NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Merrimack County, New Hampshire",147262,65983,12840,33,013
"Belknap County, New Hampshire",60399,62159,6214,33,001
"Strafford County, New Hampshire",125273,60711,12997,33,017
"Monmouth County, New Jersey",629185,85242,46492,34,025
"Sussex County, New Jersey",145930,86565,8237,34,037
"Essex County, New Jersey",791609,53976,133788,34,013
"Gloucester County, New Jersey",290298,76727,23200,34,015
"Passaic County, New Jersey",507574,59739,83203,34,031
"Bergen County, New Jersey",926330,85806,67959,34,003
"Warren County, New Jersey",107226,70471,8394,34,041
"Burlington County, New Jersey",450556,78621,27881,34,005
"Luna County, New Mexico",24789,27476,7236,35,029
"Taos County, New Mexico",32943,36582,7909,35,055
"Colfax County, New Mexico",12997,32380,2490,35,007
"Harding County, New Mexico",565,33393,59,35,021
"Quay County, New Mexico",8698,29113,1484,35,037
"Noxubee County, Mississippi",11143,26677,3953,28,103
"Tate County, Mississippi",28415,42880,4656,28,137
"Panola County, Mississippi",34373,36555,7793,28,107
"Yalobusha County, Mississippi",12381,36502,2472,28,161
"Copiah County, Mississippi",28921,35130,7629,28,029
"Hinds County, Mississippi",245874,37324,61498,28,049
"Union County, Mississippi",27811,35865,6170,28,145
"Tippah County, Mississippi",22054,35609,5311,28,139
"Forrest County, Mississippi",76267,36416,20179,28,035
"Lafayette County, Mississippi",51169,44643,11903,28,071
"Lowndes County, Mississippi",59699,40239,13675,28,087
"Wilkinson County, Mississippi",9345,29931,2687,28,157
"Jefferson Davis County, Mississippi",11941,26279,4028,28,065
"Scott County, Mississippi",28293,32935,7743,28,123
"Yazoo County, Mississippi",27911,28961,8017,28,163
"Bolivar County, Mississippi",33803,27585,11900,28,011
"Pike County, Mississippi",40075,31677,11334,28,113
"Stone County, Mississippi",17978,45025,3103,28,131
"Kemper County, Mississippi",10211,30056,2841,28,069
"Sunflower County, Mississippi",27911,27384,8458,28,133
"Adams County, Mississippi",31979,28869,8898,28,001
"DeSoto County, Mississippi",168586,58278,16338,28,033
