YEAR,BENE_GEO_LVL,BENE_GEO_DESC,BENE_GEO_CD,BENES_TOTAL_CNT,ER_VISITS_PER_1000_BENES,County,Population,Median_Income,People_In_Poverty
2015,County,TX-Freestone,48161,3942.0,806.508,"Freestone County, Texas",19586,44301.0,2683
2015,County,TX-Frio,48163,2588.0,882.6034,"Frio County, Texas",18168,36404.0,3321
2015,County,TX-Gaines,48165,1994.0,791.6399,"Gaines County, Texas",18916,57635.0,2177
2015,County,TX-Galveston,48167,50712.0,646.3601,"Galveston County, Texas",308163,62313.0,41985
2015,County,TX-Garza,48169,837.0,682.1561,"Garza County, Texas",6410,48508.0,432
2015,County,TX-Gillespie,48171,7932.0,479.8565,"Gillespie County, Texas",25398,54859.0,2791
2015,County,TX-Glasscock,48173,203.0,357.5758,"Glasscock County, Texas",1180,67303.0,40
2015,County,TX-Goliad,48175,1616.0,766.805,"Goliad County, Texas",7410,51226.0,1358
2015,County,TX-Gonzales,48177,3919.0,726.8094,"Gonzales County, Texas",20172,42983.0,4009
2015,County,TX-Gray,48179,4204.0,659.1558,"Gray County, Texas",22983,43288.0,2824
2015,County,TX-Grayson,48181,26574.0,761.7293,"Grayson County, Texas",122780,47952.0,19420
2015,County,TX-Gregg,48183,23268.0,896.8725,"Gregg County, Texas",123178,47639.0,21769
2015,County,TX-Grimes,48185,5183.0,819.0139,"Grimes County, Texas",26961,46195.0,4701
2015,County,TX-Guadalupe,48187,23150.0,648.1958,"Guadalupe County, Texas",143460,62420.0,13924
2015,County,TX-Hale,48189,5545.0,698.2999,"Hale County, Texas",35504,43375.0,7548
2015,County,TX-Hall,48191,812.0,628.3892,"Hall County, Texas",3203,30950.0,844
2015,County,TX-Hamilton,48193,2293.0,793.2961,"Hamilton County, Texas",8266,42432.0,1159
2015,County,TX-Hansford,48195,931.0,684.8958,"Hansford County, Texas",5559,44219.0,939
2015,County,TX-Hardeman,48197,964.0,797.2973,"Hardeman County, Texas",3992,37174.0,585
2015,County,TX-Hardin,48199,10851.0,615.0621,"Hardin County, Texas",55375,52614.0,6684
2015,County,TX-Harris,48201,499843.0,619.3323,"Harris County, Texas",4356362,54457.0,774568
2015,County,TX-Harrison,48203,12633.0,788.5603,"Harrison County, Texas",66417,45974.0,11151
2015,County,TX-Hartley,48205,681.0,817.8506,"Hartley County, Texas",6121,63004.0,295
2015,County,TX-Haskell,48207,1399.0,730.1136,"Haskell County, Texas",5853,39850.0,1030
2015,County,TX-Hays,48209,23932.0,630.0197,"Hays County, Texas",177562,58583.0,28783
2015,County,TX-Hemphill,48211,578.0,687.6356,"Hemphill County, Texas",4115,62813.0,502
2015,County,TX-Henderson,48213,20081.0,795.2628,"Henderson County, Texas",79016,41607.0,14572
2015,County,TX-Hidalgo,48215,96388.0,608.6519,"Hidalgo County, Texas",819217,34782.0,277104
2015,County,TX-Hill,48217,8376.0,710.4755,"Hill County, Texas",34923,41382.0,7049
2015,County,TX-Hockley,48219,3887.0,807.3989,"Hockley County, Texas",23322,50665.0,3297
2015,County,TX-Hood,48221,14944.0,630.9524,"Hood County, Texas",53171,56100.0,6161
2015,County,TX-Hopkins,48223,7540.0,783.3082,"Hopkins County, Texas",35645,44396.0,6972
2015,County,TX-Houston,48225,5208.0,719.7788,"Houston County, Texas",22949,32698.0,4918
2015,County,TX-Howard,48227,5394.0,804.5075,"Howard County, Texas",36105,49575.0,4787
2015,County,TX-Hudspeth,48229,674.0,532.7869,"Hudspeth County, Texas",3330,26384.0,1192
2015,County,TX-Hunt,48231,17335.0,857.1098,"Hunt County, Texas",88052,45197.0,16112
2015,County,TX-Hutchinson,48233,4036.0,665.0532,"Hutchinson County, Texas",21858,49353.0,3493
2015,County,TX-Irion,48235,345.0,415.0943,"Irion County, Texas",1644,58500.0,191
2015,County,TX-Jack,48237,1643.0,811.2764,"Jack County, Texas",8946,50324.0,1324
2015,County,TX-Jackson,48239,2877.0,692.9283,"Jackson County, Texas",14486,54926.0,1765
2015,County,TX-Jasper,48241,8021.0,766.3377,"Jasper County, Texas",35768,40820.0,5912
2015,County,TX-Jeff Davis,48243,646.0,374.7277,"Jeff Davis County, Texas",2232,50165.0,123
2015,County,TX-Jefferson,48245,43789.0,768.5148,"Jefferson County, Texas",252872,43540.0,47095
2015,County,TX-Jim Hogg,48247,957.0,787.234,"Jim Hogg County, Texas",5239,35521.0,915
2015,County,TX-Jim Wells,48249,7633.0,884.3452,"Jim Wells County, Texas",41461,42986.0,9128
2015,County,TX-Johnson,48251,27579.0,896.1039,"Johnson County, Texas",155450,58135.0,18392
2015,County,TX-Jones,48253,3324.0,858.7,"Jones County, Texas",19978,43897.0,2285
2015,County,TX-Karnes,48255,2711.0,742.8004,"Karnes County, Texas",14879,45502.0,3079
2015,County,TX-Kaufman,48257,17890.0,713.0325,"Kaufman County, Texas",109289,60391.0,15016
2015,County,TX-Kendall,48259,8916.0,469.8225,"Kendall County, Texas",37361,73240.0,2862
2015,County,TX-Kenedy,48261,57.0,1292.6829,"Kenedy County, Texas",565,36438.0,151
2015,County,TX-Kent,48263,203.0,744.9664,"Kent County, Texas",821,47024.0,74
2015,County,TX-Kerr,48265,15386.0,636.494,"Kerr County, Texas",50149,43810.0,7718
2015,County,TX-Kimble,48267,1248.0,636.5524,"Kimble County, Texas",4486,40125.0,912
2015,County,TX-Kinney,48271,909.0,627.3006,"Kinney County, Texas",3577,38281.0,572
2015,County,TX-Kleberg,48273,4935.0,793.9371,"Kleberg County, Texas",32029,38247.0,7849
2015,County,TX-Knox,48275,865.0,865.8718,"Knox County, Texas",3796,40493.0,605
2015,County,TX-La Salle,48283,1171.0,808.0668,"La Salle County, Texas",7191,37292.0,972
2015,County,TX-Lamar,48277,11510.0,681.1594,"Lamar County, Texas",49566,40748.0,9076
2015,County,TX-Lamb,48279,2720.0,709.9156,"Lamb County, Texas",13742,39851.0,3173
2015,County,TX-Lampasas,48281,4733.0,678.7665,"Lampasas County, Texas",20219,49630.0,2923
2015,County,TX-Lavaca,48285,5062.0,713.0456,"Lavaca County, Texas",19549,48677.0,1765
2015,County,TX-Lee,48287,3434.0,705.4264,"Lee County, Texas",16664,53902.0,2374
2015,County,TX-Leon,48289,4989.0,671.7905,"Leon County, Texas",16819,49802.0,2322
2015,County,TX-Liberty,48291,12948.0,715.7688,"Liberty County, Texas",77486,48729.0,12548
2015,County,TX-Limestone,48293,4986.0,893.3572,"Limestone County, Texas",23454,37554.0,5189
2015,County,TX-Lipscomb,48295,593.0,598.3437,"Lipscomb County, Texas",3483,63125.0,317
2015,County,TX-Live Oak,48297,2007.0,660.7692,"Live Oak County, Texas",11873,50400.0,1567
2015,County,TX-Llano,48299,6737.0,486.4234,"Llano County, Texas",19323,48259.0,2841
2015,County,TX-Lubbock,48303,43484.0,679.5021,"Lubbock County, Texas",290782,46075.0,54155
2015,County,TX-Lynn,48305,1127.0,763.6595,"Lynn County, Texas",5764,39526.0,1106
2015,County,TX-Madison,48313,2395.0,859.5642,"Madison County, Texas",13838,39390.0,1938
2015,County,TX-Marion,48315,2898.0,846.7413,"Marion County, Texas",10248,34175.0,2264
2015,County,TX-Martin,48317,803.0,804.7244,"Martin County, Texas",5252,55682.0,692
2015,County,TX-Mason,48319,1185.0,490.1532,"Mason County, Texas",4066,37654.0,577
2015,County,TX-Matagorda,48321,6868.0,876.0119,"Matagorda County, Texas",36598,40797.0,7833
2015,County,TX-Maverick,48323,9626.0,668.9704,"Maverick County, Texas",56548,33747.0,14872
2015,County,TX-McCulloch,48307,2057.0,815.9952,"McCulloch County, Texas",8273,40561.0,1522
2015,County,TX-McLennan,48309,41460.0,732.4756,"McLennan County, Texas",241505,42687.0,49881
2015,County,TX-McMullen,48311,171.0,609.0909,"McMullen County, Texas",778,46250.0,92
2015,County,TX-Medina,48325,8732.0,600.9911,"Medina County, Texas",47392,57338.0,6656
2015,County,TX-Menard,48327,646.0,733.5984,"Menard County, Texas",2182,34464.0,317
2015,County,TX-Midland,48329,18565.0,641.9913,"Midland County, Texas",151290,68806.0,13238
2015,County,TX-Milam,48331,5730.0,753.3619,"Milam County, Texas",24344,38929.0,4159
2015,County,TX-Mills,48333,1367.0,483.7963,"Mills County, Texas",4875,43920.0,688
2015,County,TX-Mitchell,48335,1481.0,1122.7437,"Mitchell County, Texas",9169,49870.0,766
2015,County,TX-Montague,48337,4974.0,746.955,"Montague County, Texas",19478,46172.0,2878
2015,County,TX-Montgomery,48339,76132.0,593.0392,"Montgomery County, Texas",502586,68838.0,59856
2015,County,TX-Moore,48341,2522.0,676.5016,"Moore County, Texas",22281,49802.0,4421
2015,County,TX-Morris,48343,3579.0,791.7953,"Morris County, Texas",12700,39453.0,2346
2015,County,TX-Motley,48345,358.0,620.6897,"Motley County, Texas",1071,31683.0,181
2015,County,TX-Nacogdoches,48347,11044.0,766.1492,"Nacogdoches County, Texas",65531,39538.0,14752
2015,County,TX-Navarro,48349,10007.0,806.5094,"Navarro County, Texas",48118,41505.0,9794
2015,County,TX-Newton,48351,2657.0,833.6163,"Newton County, Texas",14231,38144.0,1798
2015,County,TX-Nolan,48353,3199.0,968.8409,"Nolan County, Texas",15061,37102.0,3108
2015,County,TX-Nueces,48355,57112.0,731.5361,"Nueces County, Texas",352060,50337.0,61965
2015,County,TX-Ochiltree,48357,1291.0,648.9564,"Ochiltree County, Texas",10642,51517.0,1447
2015,County,TX-Oldham,48359,422.0,288.6598,"Oldham County, Texas",2071,50893.0,214
2015,County,TX-Orange,48361,17179.0,694.6833,"Orange County, Texas",83217,49763.0,12691
2015,County,TX-Palo Pinto,48363,5991.0,832.6907,"Palo Pinto County, Texas",27921,39516.0,5425
2015,County,TX-Panola,48365,4914.0,856.9437,"Panola County, Texas",23900,50119.0,3509
2015,County,TX-Parker,48367,22104.0,696.5339,"Parker County, Texas",121418,67288.0,11785
2015,County,TX-Parmer,48369,1464.0,691.129,"Parmer County, Texas",10004,45326.0,1696
2015,County,TX-Pecos,48371,2285.0,747.8207,"Pecos County, Texas",15807,50305.0,1643
2015,County,TX-Polk,48373,17887.0,562.681,"Polk County, Texas",46113,39662.0,7279
2015,County,TX-Potter,48375,18274.0,679.6581,"Potter County, Texas",122352,38159.0,25466
2015,County,TX-Presidio,48377,1857.0,374.3627,"Presidio County, Texas",7304,32132.0,1586
2015,County,TX-Rains,48379,2887.0,773.0933,"Rains County, Texas",11037,48448.0,1206
2015,County,TX-Randall,48381,20895.0,469.7959,"Randall County, Texas",126782,60972.0,13076
2015,County,TX-Reagan,48383,449.0,695.2663,"Reagan County, Texas",3598,52181.0,552
